id	title	url
PQjDOXGajfw	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　菊池さん 2/2（初組み上げに”アーム収納式”コプター、調整中。乞うご期待！ )	https://www.youtube.com/watch?v=PQjDOXGajfw
C9ee78aQj8U	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡辺さん 1/2（初組み上げにローバー。PS4のゲームパッドをプロポに採用。徹底的にコストダウンさせた最安値ローバー完成！ )	https://www.youtube.com/watch?v=C9ee78aQj8U
xtX1AiqqNas	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渡辺さん 2/2（初組み上げにローバー。PS4のゲームパッドをプロポに採用。徹底的にコストダウンさせた最安値ローバー完成！ )	https://www.youtube.com/watch?v=xtX1AiqqNas
mm394UjCP8A	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　日笠さん＆山田さんチーム（走行中のローバーにコプター追従しつつ着陸。に向け鋭意奮闘中！ )	https://www.youtube.com/watch?v=mm394UjCP8A
K6hpy7n80ZU	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　山田さん（クローラーオートミッション走行にむけ調整中。乞うご期待！ )	https://www.youtube.com/watch?v=K6hpy7n80ZU
cu9XzYJ7CnQ	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　徳毛さん（ラズパイカメラがアルコマーカーを認識し自作ローバー始動！ドローンキットPythonプログラムデモ！)	https://www.youtube.com/watch?v=cu9XzYJ7CnQ
qbqsVbeldc4	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　中村さん（初組み上げ、初フライト、そして初操作！　日没ぎりぎりに間に合いました！)	https://www.youtube.com/watch?v=qbqsVbeldc4
bsdOeuGKsLI	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渋谷さん 1/2（渋谷さんのアルコマーカー追従システム進化版！前回のデモと一緒にご覧あれ	https://www.youtube.com/watch?v=bsdOeuGKsLI
cxIFNknumUA	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　渋谷さん 2/2（渋谷さんのアルコマーカー追従システム進化版！前回のデモと一緒にご覧あれ	https://www.youtube.com/watch?v=cxIFNknumUA
zBiNifiDaJM	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　川村さん 1/2（世界初モーターインロックモード！）	https://www.youtube.com/watch?v=zBiNifiDaJM
MbxQbMIkKNU	ドローンエンジニア養成塾 第１２期フライトエクスペリエンスデモ　川村さん 2/2（世界初モーターインロックモード！）	https://www.youtube.com/watch?v=MbxQbMIkKNU
J8JtkejzByM	ドローンエンジニア養成塾１２期　コース１　中村さんインタビュー	https://www.youtube.com/watch?v=J8JtkejzByM
zMhuagBw_dU	ドローンエンジニア養成塾１２期　コース１　浅野さんインタビュー	https://www.youtube.com/watch?v=zMhuagBw_dU
4_GiDT6BkVo	ドローンエンジニア養成塾１２期　コース３　Team "Grover" インタビューDEMO	https://www.youtube.com/watch?v=4_GiDT6BkVo
AMr7dOCYigE	ドローンエンジニア養成塾１２期　コース２　安河内さんインタビュ	https://www.youtube.com/watch?v=AMr7dOCYigE
uRNG-SIxA2o	ドローンエンジニア養成塾１２期　総合MVP　山田さんインタビュ	https://www.youtube.com/watch?v=uRNG-SIxA2o
K3X2Ge-oHqM	ドローンエンジニア養成塾１２期　ArduPiot Script Generator!?  (山田さんDEMO)	https://www.youtube.com/watch?v=K3X2Ge-oHqM
mLL57w_rDjw	ArduPilot	https://www.youtube.com/watch?v=mLL57w_rDjw
